gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
RPLP1,6.25394401376766e-07,0.0002180905580877,0.3918558035609594,0.974739246369655,0.0288756832992719,0.1487542279755095,True,False,False
FGG,6.50682126956958e-07,0.0002252765770002,9.162981320032236e-06,0.0028731533622032,0.3989366803697678,0.0517459530724249,True,True,True
LMNA,7.23531066393335e-07,0.0002487087751897,0.1951001301683795,0.974739246369655,0.3526458396884611,0.0305196765285746,True,False,False
PRSS8,7.34900531096372e-07,0.0002508253400862,0.0047530682202021,0.2910711697796408,0.0939024309997054,0.252212021085435,True,False,False
ITIH2,7.85614101994625e-07,0.0002662458746758,0.0002747599839924,0.0421632309950275,0.1361419249249473,0.252212021085435,True,True,True
SPDEF,8.54232467095706e-07,0.0002874762675122,0.0393036047073694,0.78587952910538,0.0647264331889238,0.1487542279755095,True,False,False
RPS14,8.6100671725653e-07,0.0002877438225795,0.6089117849628892,0.974739246369655,0.0233052167192949,0.252212021085435,True,False,False
RTN4,8.8320783508955e-07,0.0002931277078896,0.0973191188983249,0.974739246369655,0.3807639743045389,0.0305196765285746,True,False,False
PLD3,9.07047858378363e-07,0.0002989780518278,0.0540450575977776,0.8837839844499679,0.0653826746942715,0.252212021085435,True,False,False
GPC3,1.17662662701967e-06,0.000385197357073,0.0010893953312006,0.1167105531492985,0.1855041198018532,0.0877349947292727,True,False,False
RPS19,1.26175233883252e-06,0.0004102743482282,0.0618865932597298,0.9219166198691628,0.124730379941308,0.0877349947292727,True,False,False
COL6A2,1.38944371341765e-06,0.0004476750778438,0.0165681603910272,0.5634927777435094,0.2139489966642994,0.0517459530724249,True,False,False
MGP,1.39537910592846e-06,0.0004476750778438,0.0340872133012606,0.7465506204446452,0.1346760662873183,0.0877349947292727,True,False,False
MFAP2,1.55825493841633e-06,0.0004966192226893,0.0016314117979623,0.1542163976073806,0.0975335868122478,0.252212021085435,True,False,False
RPL37A,1.7265399911981e-06,0.0005466319542021,0.0209693571333454,0.6298646152016105,0.2011083854524842,0.1487542279755095,True,False,False
BSG,2.16386224116683e-06,0.0006806128416665,0.1493670116779381,0.974739246369655,0.0406210953777195,0.1487542279755095,True,False,False
BEX1,2.42111199089123e-06,0.0007565821990872,0.0001200561623929,0.022368724981507,0.156639747362471,0.1487542279755095,True,True,True
FBLN2,2.61166490211906e-06,0.0008056655903312,0.0071028076822419,0.3643820064113708,0.08172076789957,0.1487542279755095,True,False,False
LRP1,2.60555737641166e-06,0.0008056655903312,0.0014411138591051,0.1417311844653553,0.0903517520500318,0.252212021085435,True,False,False
ERBB2,2.90064271835089e-06,0.000889112154798,0.1502875640955009,0.974739246369655,0.0544524255512003,0.1487542279755095,True,False,False
RPLP0,2.95555170470863e-06,0.000894547483281,0.1171800169366976,0.974739246369655,0.293382905148667,0.0305196765285746,True,False,False
MYL9,2.9528233853604e-06,0.000894547483281,0.2798698597117636,0.974739246369655,0.0892655366104991,0.0517459530724249,True,False,False
CD55,3.40789497199623e-06,0.0010250101838747,0.0116274014619315,0.4697430132707185,0.1129606216633748,0.4276241720704075,True,False,False
RPL11,3.544622980578e-06,0.0010595126197984,0.0048525550616917,0.2942662635524045,0.2578281316435764,0.0517459530724249,True,False,False
MT1X,4.71878718766305e-06,0.0014017718624323,0.0019579450042529,0.1703160594390073,0.1200449052558475,0.1487542279755095,True,False,False
BST2,4.80349705278549e-06,0.0014181817272684,0.0017331311841493,0.1606010411880953,0.2011806993625983,0.0877349947292727,True,False,False
SCGB2A2,4.99608163684329e-06,0.0014571610136665,0.0019236731077015,0.1696813095645977,0.1451911179827567,0.1487542279755095,True,False,False
STC2,4.97595684167962e-06,0.0014571610136665,4.736378973690947e-06,0.001691413557938,0.362747184213192,0.0877349947292727,True,True,True
IDI1,5.13364198007071e-06,0.0014882621982981,0.0093379611348796,0.418288600522691,0.1366279179935399,0.1487542279755095,True,False,False
RAB1B,5.16921083426602e-06,0.0014896002479927,0.031459817159965,0.729136173984424,0.4793526873843826,0.0305196765285746,True,False,False
TPM4,5.20228330769257e-06,0.0014902072739091,0.0261989646617799,0.6804321003875617,0.0648254515670295,0.1487542279755095,True,False,False
PRRC2A,5.51676734505957e-06,0.0015709411852144,0.0155333591670333,0.5439703879088897,0.2211936907654143,0.0517459530724249,True,False,False
SLC9A3R1,7.27976621117676e-06,0.0020487231884125,0.0254907435727005,0.6733135194073901,0.0800946467544169,0.1487542279755095,True,False,False
ALDOA,7.27301293579341e-06,0.0020487231884125,0.0420513874850305,0.8091370395124781,0.0861423215945203,0.1487542279755095,True,False,False
BLVRB,7.35537286877808e-06,0.002057966058403,0.0263809887559011,0.6837782085602112,0.0889894489171564,0.1487542279755095,True,False,False
MGST3,7.60742975136619e-06,0.0021161858627274,0.1417738024623061,0.974739246369655,0.0568407755000875,0.252212021085435,True,False,False
HLA-DPA1,7.84154792832226e-06,0.0021563820783164,0.1761642890881014,0.974739246369655,0.0390661200690707,0.1487542279755095,True,False,False
KLF6,7.81630510982012e-06,0.0021563820783164,0.0690438638875838,0.9575274154679378,0.051278819794548,0.252212021085435,True,False,False
PITX1,8.13592971837807e-06,0.0022246233005616,0.0086425777863075,0.4042253148199559,0.0935826456539492,0.1487542279755095,True,False,False
PIGT,9.65103550443214e-06,0.0026239926133022,0.0330191791746377,0.73265714138057,0.0634333973126789,0.252212021085435,True,False,False
HADH,9.77886131103833e-06,0.0026438100287328,0.0026055689398611,0.2010175966797523,0.1041216435643586,0.1487542279755095,True,False,False
RDH10,9.9390244463482e-06,0.0026572548897328,0.0006433994027437,0.0810935560948354,0.2027750899251553,0.0877349947292727,True,False,False
ADAM12,9.93549874817035e-06,0.0026572548897328,0.0009557706678278,0.1097088187999499,0.1238019366710871,0.1487542279755095,True,False,False
C4B,1.34587560014499e-05,0.0035783952282288,0.0393552850566701,0.78587952910538,0.1167139304501085,0.1487542279755095,True,False,False
NDUFB10,1.36873870184573e-05,0.0036191878106032,0.215158021787382,0.974739246369655,0.0361721453995031,0.1487542279755095,True,False,False
METRN,1.55600643609866e-05,0.0040918740786886,0.2337652949594667,0.974739246369655,0.0609133167897327,0.0877349947292727,True,False,False
IGLL5,1.62568012189723e-05,0.0042518627158668,0.0008857042082327,0.1029282920886068,0.6567617202526732,0.0305196765285746,True,False,False
COL6A1,1.68363359109858e-05,0.0043796339613353,0.0104120407897145,0.4517017920220912,0.1317828346870262,0.0877349947292727,True,False,False
PMEPA1,1.71293821762397e-05,0.0044168111640457,0.0047224846372063,0.2910711697796408,0.2560167176932851,0.0517459530724249,True,False,False
APOC1,1.71628132619173e-05,0.0044168111640457,0.0065671481353368,0.3446010466444525,0.1170288905484375,0.1487542279755095,True,False,False
MMP2,1.75832453163105e-05,0.0045009392084362,0.0021028925252573,0.1744179761594059,0.1164133487368869,0.1487542279755095,True,False,False
SMG7,1.95015204726978e-05,0.004965564531632,0.0111771644829181,0.4665377486766102,0.1299949812713171,0.0877349947292727,True,False,False
FAM177B,2.0372172626737e-05,0.0051599525483653,0.0060354694627968,0.3289842544562485,0.2570036814465713,0.0517459530724249,True,False,False
SYAP1,2.14460347305323e-05,0.0054035055130663,0.0817444472647054,0.974739246369655,0.1585029889831169,0.0517459530724249,True,False,False
SLC38A2,2.2458130309766e-05,0.0056290399370328,0.1093969981021538,0.974739246369655,0.0455474606902728,0.1487542279755095,True,False,False
RPS4X,2.26114961832113e-05,0.0056381152918897,0.349293025488704,0.974739246369655,0.0247660043262518,0.252212021085435,True,False,False
CTSL,2.32108952838983e-05,0.005757740978352,0.035534187410762,0.7601123350295463,0.0587265692703327,0.252212021085435,True,False,False
CST1,2.35394254777255e-05,0.0057796527841663,0.000781464734593,0.0956810535993182,0.1206563152796899,0.1487542279755095,True,False,False
SCD,2.35101986134634e-05,0.0057796527841663,0.0782431552371473,0.974739246369655,0.1509082772363356,0.0517459530724249,True,False,False
VWF,2.44369040161008e-05,0.0059695544520299,0.0445414472095038,0.8261681450913259,0.5168067338821825,0.0305196765285746,True,False,False
MAL2,2.48694932314386e-05,0.0060445462732327,0.0706559435747722,0.9642168707832356,0.4028341937710558,0.0305196765285746,True,False,False
